CAD_CODE,CATEGORY,Category_Desc,PRIORITY,Priority_Desc,DESCR,AC_BEGIN_DATE,AC_END_DATE,CARD_NAME
11E0O,3,MEDICAL,5,ECHO,OVERRIDE - OBJECT/TOY,2016-09-09,2099-12-31,CHOKING
11E0U,3,MEDICAL,5,ECHO,OVERRIDE - UNKNOWN,2016-09-09,2099-12-31,CHOKING
11E1,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING,2010-01-01,2099-12-31,CHOKING
11E1C,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING CANDY,2016-09-09,2099-12-31,CHOKING
11E1F,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING  - FOOD,2016-09-09,2099-12-31,CHOKING
11E1M,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING  - MILK,2016-09-09,2099-12-31,CHOKING
11E1O,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING  - OBJE,2016-09-09,2099-12-31,CHOKING
11E1U,3,MEDICAL,5,ECHO,COMPLETE OBSTRUCTION/INEFFECTIVE BREATHING  - UNKN,2016-09-09,2099-12-31,CHOKING
12A1,3,MEDICAL,1,ALPHA,NOT SEIZING NOW AND BREATHING REGULARLY,2010-01-01,2013-05-22,CONVULSIONS/SEIZURES
12A1,3,MEDICAL,1,ALPHA,NOT SEIZING NOW EFF. BREATHING VERIFIED KNOWN DISO,2013-05-23,2099-12-31,CONVULSIONS/SEIZURES
12A1E,3,MEDICAL,1,ALPHA,NOT SEIZING NOW/BREATH REGULAR(VERIFIED)-EPILEPTIC,2012-03-27,2013-05-22,CONVULSIONS/SEIZURES
12A1E,3,MEDICAL,1,ALPHA,NOT SEIZING NOW/BREATHING VERIFIED-PREV. HX,2013-05-23,2099-12-31,CONVULSIONS/SEIZURES
12A2,3,MEDICAL,1,ALPHA,"NOT SEIZING NOW, BREATHING VERIFIED, UNK DISORDER",2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12A2E,3,MEDICAL,1,ALPHA,FOCAL SEIZURE(ALERT)-EPILEPTIC/PREV HIST SEIZURES,2012-03-27,2013-05-22,CONVULSIONS/SEIZURES
12A2E,3,MEDICAL,1,ALPHA,NOT SEIZING NOW/BREATH VERIFIED/UNK DIS/HX OF SEIZ,2013-05-23,2099-12-31,CONVULSIONS/SEIZURES
12A3,3,MEDICAL,1,ALPHA,IMPENDING SEIZURE (AURA),2010-01-01,2013-05-22,CONVULSIONS/SEIZURES
12A3,3,MEDICAL,1,ALPHA,"NOT SEIZING NOW \ EFFE BREATH VERIFIED (<6, NO HX)",2013-05-23,2099-12-31,CONVULSIONS/SEIZURES
12A3E,3,MEDICAL,1,ALPHA,IMPENDING SEIZURE(AURA)-EPILEPTIC/PREV HIST SEIZUR,2012-03-27,2013-05-22,CONVULSIONS/SEIZURES
12A3E,3,MEDICAL,1,ALPHA,NOT SEIZING NOW/BREATH VER/<6 NO DISORDER/SEIZ HX,2013-05-23,2099-12-31,CONVULSIONS/SEIZURES
12A4,3,MEDICAL,1,ALPHA,FOCAL SEIZURE (ALERT),2013-05-06,2016-09-08,CONVULSIONS/SEIZURES
12A4,3,MEDICAL,1,ALPHA,FOCAL/ABSENCE SEIZURE (ALERT),2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12A4E,3,MEDICAL,1,ALPHA,FOCAL SEIZURE (ALERT) - HISTORY OF SEIZURES,2013-05-16,2016-09-11,CONVULSIONS/SEIZURES
12A4E,3,MEDICAL,1,ALPHA,FOCAL/ABSENCE SEIZURE (ALERT)-EPILEPTIC OR PREV HX,2016-09-12,2099-12-31,CONVULSIONS/SEIZURES
12A5,3,MEDICAL,1,ALPHA,IMPENDING SEIZURE (AURA),2013-05-06,2099-12-31,CONVULSIONS/SEIZURES
12A5E,3,MEDICAL,1,ALPHA,IMPENDING SEIZURE(AURA)-HX OF SEIZURE OR EPILEPTIC,2013-05-16,2099-12-31,CONVULSIONS/SEIZURES
12B0,3,MEDICAL,2,BRAVO,OVERRIDE,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12B0E,3,MEDICAL,2,BRAVO,OVERRIDE-EPILECTIC OR PREVIOUS HISTORY OF SEIZURE,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12B1,3,MEDICAL,2,BRAVO,EFFECTIVE BREATHING NOT VERIFIED <35,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12B1E,3,MEDICAL,2,BRAVO,EFFECTIVE BREATHING<35-EPILEPTIC/PREV HIST SEIZURE,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12C0,3,MEDICAL,3,CHARLIE,OVERRIDE,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12C0E,3,MEDICAL,3,CHARLIE,OVERRIDE-EPILECTIC OR PREVIOUS HISTORY OF SEIZURE,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12C1,3,MEDICAL,3,CHARLIE,FOCAL SEIZURE (NOT ALERT),2010-01-01,2016-09-11,CONVULSIONS/SEIZURES
12C1,3,MEDICAL,3,CHARLIE,FOCAL/ABSENCE SEIZURE (NOT ALERT),2016-09-12,2099-12-31,CONVULSIONS/SEIZURES
12C1E,3,MEDICAL,3,CHARLIE,FOCAL SEIZURE (NOT ALERT)-EPILEPTIC/PREV HIST SEIZ,2012-03-27,2016-09-11,CONVULSIONS/SEIZURES
12C1E,3,MEDICAL,3,CHARLIE,FOCAL/ABSENCE SEIZURE (NOT ALERT) - EPILEPTIC OR P,2016-09-12,2099-12-31,CONVULSIONS/SEIZURES
12C2,3,MEDICAL,3,CHARLIE,PREGNANCY,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12C2E,3,MEDICAL,3,CHARLIE,PREGNANCY-EPILEPTIC/PREVIOUS HISTORY OF SEIZURES,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12C3,3,MEDICAL,3,CHARLIE,DIABETIC,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12C3E,3,MEDICAL,3,CHARLIE,DIABETIC-EPILEPTIC OR PREVIOUS HISTORY OF SEIZURES,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12C4,3,MEDICAL,3,CHARLIE,NOT SEIZING AND EFFECTIVE BREATHING (>6 AND NO HX),2013-05-16,2099-12-31,CONVULSIONS/SEIZURES
12C4E,3,MEDICAL,3,CHARLIE,NOT SEIZING AND BREATHING EFFECTIVE(SEIZURE HX),2013-05-16,2016-09-11,CONVULSIONS/SEIZURES
12C4E,3,MEDICAL,3,CHARLIE,NOT SEIZING AND BREATHING EFFECTIVE(SEIZURE HX),2016-09-12,2099-12-31,CONVULSIONS/SEIZURES
12C5,3,MEDICAL,3,CHARLIE,HISTORY OF STROKE OR BRAIN TUMOR,2013-05-06,2099-12-31,CONVULSIONS/SEIZURES
12C5E,3,MEDICAL,3,CHARLIE,HX OF STROKE OR BRAIN TUMOR- PV HX OF SEIZURE,2013-05-16,2099-12-31,CONVULSIONS/SEIZURES
12C6,3,MEDICAL,3,CHARLIE,OVERDOSE/POISONING (INGESTION),2013-05-06,2099-12-31,CONVULSIONS/SEIZURES
12C6E,3,MEDICAL,3,CHARLIE,OVERDOSE/POISONING (INGESTION) - HX OF SEIZURES,2013-05-16,2099-12-31,CONVULSIONS/SEIZURES
12C7,3,MEDICAL,3,CHARLIE,ATYPICAL SEIZURE,2013-05-06,2099-12-31,CONVULSIONS/SEIZURES
12C7E,3,MEDICAL,3,CHARLIE,ATYPICAL SEIZURE - EPILEPTIC/PREVIOUS SEIZURE HX,2013-05-16,2099-12-31,CONVULSIONS/SEIZURES
12D0,3,MEDICAL,4,DELTA,OVERRIDE,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12D0E,3,MEDICAL,4,DELTA,OVERRIDE-EPILEPTIC OR PREVIOUS HISTORY OF SEIZURES,2016-09-09,2099-12-31,CONVULSIONS/SEIZURES
12D1,3,MEDICAL,4,DELTA,NOT BREATHING (AFTER KEY QUESTIONING),2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12D1E,3,MEDICAL,4,DELTA,NOT BREATHING-EPILEPTIC/PREV. HISTORY OF SEIZURES,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12D2,3,MEDICAL,4,DELTA,CONTINUOUS OR MULTIPLE SEIZURES,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12D2E,3,MEDICAL,4,DELTA,CONTINUOUS/MTPL SEIZURES-EPILEPTIC/PREV HIST SEIZ.,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12D3,3,MEDICAL,4,DELTA,AGONAL/INEFFECTIVE BREATHING,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12D3E,3,MEDICAL,4,DELTA,AGONAL/INEFFECT BREATH-EPILEPTIC/PREV HIST SEIZURE,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
12D4,3,MEDICAL,4,DELTA,EFFECTIVE BREATHING NOT VERIFIED > 35,2010-01-01,2099-12-31,CONVULSIONS/SEIZURES
12D4E,3,MEDICAL,4,DELTA,EFFECTIVE BREATHING NOT VERIFIED>35-EPILEPTIC,2012-03-27,2099-12-31,CONVULSIONS/SEIZURES
13A1,3,MEDICAL,1,ALPHA,ALERT AND BEHAVING NORMALLY,2010-01-01,2099-12-31,DIABETIC PROBLEMS
13A1C,3,MEDICAL,1,ALPHA,ALERT/BEHAVING NORMALLY- COMBATIVE OR AGGRESSIVE,2012-03-27,2016-09-11,DIABETIC PROBLEMS
13A1C,3,MEDICAL,1,ALPHA,ALERT/BEHAVING NORMALLY- COMBATIVE OR AGGRESSIVE,2016-09-12,2099-12-31,DIABETIC PROBLEMS
13C0,3,MEDICAL,3,CHARLIE,OVERRIDE,2016-09-09,2099-12-31,DIABETIC PROBLEMS
13C0C,3,MEDICAL,3,CHARLIE,OVERRIDE - COMBATIVE OR AGGRESSIVE,2016-09-09,2099-12-31,DIABETIC PROBLEMS
13C1,3,MEDICAL,3,CHARLIE,NOT ALERT,2010-01-01,2099-12-31,DIABETIC PROBLEMS
13C1C,3,MEDICAL,3,CHARLIE,NOT ALERT- COMBATIVE OR AGGRESSIVE,2012-03-27,2099-12-31,DIABETIC PROBLEMS
13C2,3,MEDICAL,3,CHARLIE,ABNORMAL BEHAVIOR,2010-01-01,2099-12-31,DIABETIC PROBLEMS
13C2C,3,MEDICAL,3,CHARLIE,ABNORMAL BEHAVIOR- COMBATIVE OR AGGRESSIVE,2012-03-27,2099-12-31,DIABETIC PROBLEMS
13C3,3,MEDICAL,3,CHARLIE,ABNORMAL BREATHING,2010-01-01,2099-12-31,DIABETIC PROBLEMS
13C3C,3,MEDICAL,3,CHARLIE,ABNORMAL BREATHING- COMBATIVE OR AGGRESSIVE,2012-03-27,2099-12-31,DIABETIC PROBLEMS
13D0,3,MEDICAL,4,DELTA,OVERRIDE,2016-09-09,2099-12-31,DIABETIC PROBLEMS
13D0C,3,MEDICAL,4,DELTA,OVERRIDE - COMBATIVE OR AGGRESSIVE,2016-09-09,2099-12-31,DIABETIC PROBLEMS
13D1,3,MEDICAL,4,DELTA,UNCONSCIOUS,2010-01-01,2099-12-31,DIABETIC PROBLEMS
13D1C,3,MEDICAL,4,DELTA,UNCONSCIOUS-COMBATIVE OR AGGRESSIVE,2012-03-27,2099-12-31,DIABETIC PROBLEMS
14A1,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY (NO INJ & OUT OF WATER),2010-01-01,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14A1D,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY(NO INJ AND OOW)DIVING I,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14A1F,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY(NO INJ AND OOW)FLOOD RE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14A1I,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY (ICE RESCUE),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14A1S,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY (SCUBA ACCIDENT) NOT UW,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14A1W,3,MEDICAL,1,ALPHA,ALERT & BREATHING NORMALLY OW (SWIFT WATER RESCUE),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0,3,MEDICAL,2,BRAVO,OVERRIDE,2016-09-09,2016-09-11,DROWNING/DIVING/SCUBA ACCIDENT
14B0,3,MEDICAL,2,BRAVO,OVERRIDE,2016-09-12,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0D,3,MEDICAL,2,BRAVO,OVERRIDE - DIVING INJURY (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0F,5,RSALARM,2,BRAVO,OVERRIDE - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0I,5,RSALARM,2,BRAVO,OVERRIDE - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0S,3,MEDICAL,2,BRAVO,OVERRIDE - SCUBA ACCIDENT (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B0W,5,RSALARM,2,BRAVO,OVERRIDE - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMALLY (INJURIES OR IN WATER),2010-01-01,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1D,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMAL (INJ OR IN WATER) DIV INJ,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1F,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMALLY (INJ OR IN WATER)FW RES,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1I,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMAL(INJ OR IN WATER)ICE RESCU,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1S,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMAL(INJ OR IN WATER) SCUBA AC,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B1W,5,RSALARM,2,BRAVO,ALERT & BREATHING NORMAL(INJ OR IN WATER) SWIFT,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B2,3,MEDICAL,2,BRAVO,UNKNOWN STATUS,2010-01-01,2016-09-08,DROWNING/DIVING/SCUBA ACCIDENT
14B2,3,MEDICAL,2,BRAVO,OBVIOUS DEATH (SUBMERSION > 6 HR),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14B3,3,MEDICAL,2,BRAVO,UNKNOWN STATUS/OTHER CODES NOT APPLICABLE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0,3,MEDICAL,3,CHARLIE,OVERRIDE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0D,5,RSALARM,3,CHARLIE,OVERRIDE - DIVING INJURY (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0F,5,RSALARM,3,CHARLIE,OVERRIDE - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0I,5,RSALARM,3,CHARLIE,OVERRIDE - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0S,5,RSALARM,3,CHARLIE,OVERRIDE - SCUBA ACCIDENT (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C0W,5,RSALARM,3,CHARLIE,OVERRIDE - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1,3,MEDICAL,3,CHARLIE,ALERT WITH ABNORMAL BREATHING,2010-01-01,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1D,5,RSALARM,3,CHARLIE,ALERT WITH ABNORMAL BREATHING - DIVING INJURY (NOT,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1F,5,RSALARM,3,CHARLIE,ALERT WITH ABNORMAL BREATHING - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1I,5,RSALARM,3,CHARLIE,ALERT WITH ABNORMAL BREATHING - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1S,5,RSALARM,3,CHARLIE,ALERT WITH ABNORMAL BREATHING - SCUBA ACCIDENT (NO,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14C1W,5,RSALARM,3,CHARLIE,ALERT WITH ABNORMAL BREATHING - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0,3,MEDICAL,4,DELTA,OVERRIDE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0D,5,RSALARM,4,DELTA,OVERRIDE - DIVING INJURY (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0F,5,RSALARM,4,DELTA,OVERRIDE - FLOODWATER RESCUE,2016-09-12,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0I,5,RSALARM,4,DELTA,OVERRIDE - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0S,5,RSALARM,4,DELTA,OVERRIDE - SCUBA ACCIDENT (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D0W,5,RSALARM,4,DELTA,OVERRIDE - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1,3,MEDICAL,4,DELTA,UNCONSCIOUS OR ARREST,2010-01-01,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1D,5,RSALARM,4,DELTA,UNCONSCIOUS OR ARREST - DIVING INJURY (NOT UNDERWA,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1F,5,RSALARM,4,DELTA,UNCONSCIOUS OR ARREST - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1I,5,RSALARM,4,DELTA,UNCONSCIOUS OR ARREST - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1S,5,RSALARM,4,DELTA,UNCONSCIOUS OR ARREST - SCUBA ACCIDENT (NOT UW),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D1W,5,RSALARM,4,DELTA,UNCONSCIOUS OR ARREST - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D2,3,MEDICAL,4,DELTA,NOT ALERT,2010-01-01,2016-09-11,DROWNING/DIVING/SCUBA ACCIDENT
14D2,5,RSALARM,4,DELTA,UNDERWATER (SPECIALIZED RESCUE),2016-09-12,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3,3,MEDICAL,4,DELTA,DIVING OR SUSPECTED NECK INJURY,2010-01-01,2016-09-11,DROWNING/DIVING/SCUBA ACCIDENT
14D3,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE),2016-09-12,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3D,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE) - DIVING INJURY (NOT,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3F,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE) - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3I,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE) - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3S,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE) - SCUBA ACCIDENT (NO,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D3W,5,RSALARM,4,DELTA,STRANDED (SPECIALIZED RESCUE) - SWIFT WATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4,3,MEDICAL,4,DELTA,SCUBA ACCIDENT,2010-01-01,2016-09-11,DROWNING/DIVING/SCUBA ACCIDENT
14D4,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED (EXTERNAL),2016-09-12,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4D,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED DIVING INJ,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4F,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED FLOODWATER,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4I,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED-ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4S,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED SCUBA ACCI,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D4W,5,RSALARM,4,DELTA,JUST RESUSCITATIED AND/OR DEFIBRILLATED SWIFT WATE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D5,3,MEDICAL,4,DELTA,NOT ALERT,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D5D,5,RSALARM,4,DELTA,NOT ALERT - DIVING INJURY (NOT UNDERWATER),2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D5F,5,RSALARM,4,DELTA,NOT ALERT - FLOODWATER RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
14D5I,5,RSALARM,4,DELTA,NOT ALERT - ICE RESCUE,2016-09-09,2099-12-31,DROWNING/DIVING/SCUBA ACCIDENT
